000	El gato básico.<br><br>	Punto a favor: sus músculos están bien definidos.<br>El gato básico.<br>	Punto a favor: sus músculos están bien definidos.<br>Otro punto a favor: ¡tiene pelazo!<br>
631	Un fantasma de la oscuridad que nació en el espacio sideral<br>y vino a la Tierra oculto en el centro de una estrella caída.<br>Puede desgastar a álienes y akus.	Crea un vacío negro capaz de sacar planetas de su órbita<br>y romper barreras con facilidad.<br>Duro contra álienes y akus y siempre desgasta.	Señor Oscuro de los Espíritus que devora luz de estrellas.<br>Atraviesa barreras y bloquea oleadas.<br>Duro contra álienes y akus y siempre desgasta.
632	Gatos maleantes que salen a conquistar desiertos<br>a bordo de una máquina de asalto impulsada por energía aku.<br>Gran daño de área contra zombis, ángeles y akus.	Armamento de alta gama creado con tecnología aku robada.<br>Su cañón de riel lo destruye todo hasta el horizonte.<br>Gran daño de área contra zombis, ángeles y akus.	Un arma de destrucción masiva construida con tecnología aku.<br>Ninguna otra arma del planeta puede detener su avance.<br>Superfuerte contra zombis, ángeles y akus.
633	Un cazatesoros que descubrió un cofre encantado<br>en la mansión de un gorrión. Lanza minioleadas<br>que pueden repeler y maldecir a akus y ángeles.	Estos cazafantasmas se han unido con unos espíritus para<br>atrapar demonios de ectorred de alta tecnología. Puede lanzar<br>minioleadas y siempre repele y maldice a akus y ángeles.	Cazadores de fantasmas que amasan riquezas.<br>Capturan fantasmas con su equipamiento de tecnología punta.<br>Minioleadas, siempre repele y maldice a akus y ángeles.
634	Este cazademonios protector de los inocentes porta una luz<br>sagrada para aniquilar a los nacidos de la oscuridad.<br>Puede paralizar a akus y álienes y atravesar escudos.	Un feroz cruzado que entregó su cuerpo a los akus<br>a cambio de poder absoluto para destruir el mal.<br>Eficaz contra akus y álienes.	
635			
636	Tiene mucha vida y es tan fuerte que es capaz de mover<br>una pluma. Está programado por control mental para obtener<br>ataque de área y ser extraduro.	Tiene mucha defensa y está programado por control mental<br>para obtener la fuerza para mover piedrecitas de una en una.<br>Tiene ataque de área y es extraduro.	
637			
638			
639			
640			
641	Solo desea hacer sonreír a la gente con su arte.<br>No se da cuenta del poder que guarda en su interior.<br>Omniataque superfuerte contra enemigos con rasgos.	Esta bailarina hechiza a todos con sus elegantes movimientos.<br>Conjura poderes mágicos que la hacen megafuerte<br>contra enemigos con rasgos. ¡Se fortalece tras sufrir daño!	
642	Fue expulsado tras intentar hacerse con poderes prohibidos.<br>Aniquila a sus rivales con su espada infernal de ángel caído.<br>Eficaz contra voladores y akus. Siempre provoca réplicas.	Enemigo de los cielos y comandante de las legiones de demonios.<br>Crea un mundo oscuro con su impía espada infernal.<br>Eficaz contra voladores y akus. Siempre provoca réplicas.	Enemigo del cielo, comandante de las legiones de demonios.<br>Crea un mundo oscuro con su impía espada infernal.<br>Eficaz contra voladores y akus. Siempre provoca réplicas.
643	Trascendió la mortalidad para cambiar las mareas del destino.<br>Se acerca rápidamente al objetivo para atacarlo con su cola.<br>Superfuerte contra reliquias. (Omniataque).	Este gato se sumerge en la batalla por voluntad propia.<br>Busca la libertad a través del poder físico más absoluto.<br>Superfuerte contra reliquias. (Omniataque).	La personificación genética de la «Humanidad Gatificada».<br>Se ha despertado tras años de biorrecombinación.<br>Superfuerte contra reliquias. (Omniataque).
644	Añadió chocolate al reactor de combustible en un<br>intento de descubrir la estructura del amor humano.<br>Puede paralizar a enemigos sin rasgos. (Ataque de área).	Como su investigación no dio resultados, se enfadó,<br>y el color de su equipamiento se oscureció como consecuencia.<br>Puede paralizar a enemigos negros. (Ataque de área).	Estudia el amor en el chocolate casero. Los dulces<br>que han hecho sus robots pueden o no contener amor.<br>Los ataques de área pueden paralizar a reliquias.
645	Mediante control mental para convertirse<br>en un maníaco de la lucha, se hizo eficaz contra<br>enemigos sin rasgos y puede maldecir.	Este aspirante a héroe sometido a control<br>mental está programado para ser eficaz contra<br>enemigos sin rasgos y puede maldecir.	
646	Un felino igual de rojo que de suertudo. Se encarga de<br>ahuyentar el mal y repartir suerte con sus gruñidos.<br>Superfuerte contra enemigos rojos. Puede esquivar ataques.	El rey de los gatos petardo. Emite los gruñidos<br>más atronadores y las luces más cegadoras de todas.<br>Superfuerte contra enemigos rojos. Puede esquivar ataques.	
647	Su vida cambió cuando la invitaron a una cacería.<br>Asedia a su presa con ataques de su arco de rayos.<br>Matacolosos. Ralentiza a álienes y rojos. (Ataque de área).	Su calma e inteligencia son sobrenaturales. Dirige<br>sus ataques al punto más débil de su presa y nunca falla.<br>Matacolosos. Ralentiza a álienes y rojos. (Ataque de área).	
648	Un líder punk de aspecto bastante feroz. Aporrea a quien<br>le hace tilín con un ramo de flores que simboliza su amor.<br>Causa varias penalizaciones a enemigos con rasgos.	Un líder punk con un alma salvaje. Cuando te pegue<br>con el ramo, sabrás lo que es el amor verdadero.<br>Causa varias penalizaciones a enemigos con rasgos.	
649	Un ninja transformado en pantera por culpa de una maldición.<br>Sus golpes siempre son certeros. Matacolosos y superfuerte<br>contra enemigos negros y voladores. Siempre paraliza.	Un asesino inigualable que acaba con los enemigos<br>usando su espada maldita. Matacolosos y superfuerte<br>contra enemigos negros y voladores. Siempre paraliza.	Un asesino inigualable que ha desatado el poder de su espada<br>usando su espada maldita. Matacolosos y superfuerte<br>contra enemigos negros y voladores. Siempre paraliza.
650	Inteligencia, carisma y belleza. ¿Y además vive al lado?<br>Qué pena que no tengas ninguna posibilidad...<br>Superfuerte contra enemigos sin rasgos. (Ataque de área).	Una hermosa gata que adora los pícnics en el parque<br>y siempre lleva bocadillos caseros de fruta felina.<br>Superfuerte contra enemigos sin rasgos. (Ataque de área).	
651	Cada mañana sale corriendo de casa con la tostada en la boca<br>para encontrarse con su amor de camino a la escuela.<br>Eficaz contra enemigos negros.	¡Ha heredado la máscara de jefa legendaria!<br>Quita de en medio a los lentorros y va corriendo para llegar<br>a clase a tiempo. Eficaz contra enemigos negros.	
652	Es novato y le encantan las pizarras limpitas.<br>¡No olvides quitarle la tiza cuando termines!<br>Duro contra enemigos rojos. (Ataque de área).	Es un veterano del comité disciplinario y también<br>el temible líder del equipo de limpieza de grafitis.<br>Duro contra enemigos rojos. (Ataque de área).	
653	Tras ser testigo del poder del ejército felino, se unió<br>a su causa. Ataca a los intrusos con rayos purificadores.<br>Eficaz contra reliquias y puede desgastar. (Ataque de área).	Un ser benévolo que solo anhela la armonía entre todas<br>las criaturas. Se deshace de los malos con rayos sagrados.<br>Eficaz contra reliquias y puede desgastar. (Ataque de área).	Criatura sagrada que halla belleza en mitad del caos.<br>Matacolosos y matamastodontes. Eficaz contra reliquias.<br>Siempre desgasta. (Ataque de área).
654	Está programado mediante control mental<br>para usar poderosos ataques a distancia<br>que siempre provocan réplicas.	Adora sus larguísimas y hermosas piernas.<br>Está programado mediante control mental<br>para que siempre provoque réplicas.	
655	Un espectro de hielo de los confines del cosmos<br>que vive en un planeta helado permanentemente.<br>Puede ralentizar a álienes y zombis.	Un espíritu que controla un frente frío que congela todo a su<br>alrededor y destroza barreras con sus témpanos. Matacolosos.<br>Duro contra álienes y zombis, a los que siempre ralentiza.	
656	Un artefacto de otro mundo con forma de huevo<br>y cubierto por la mugre de varios siglos.<br>Tiene una inscripción con el texto N001.	Un huevo de otro mundo con una cáscara blanca<br>y reluciente que parece emitir señales de vida.<br>Se vuelve resistente a los ataques de enemigos sin rasgos.	Un objeto desenterrado del jardín de una base gatuna. Tiene<br>mucho valor arqueológico y es un buen puesto de observación.<br>Matamastodontes y duro contra enemigos sin rasgos.
657	Iz, nacida en un mundo plagado de dolor, consuela<br>a los humanos con su baile de tristeza y oraciones.<br>Es superfuerte contra enemigos sin rasgos. (Omniataque).	Una bailarina que reza a los dioses en un mundo de muerte<br>y destrucción. Sus bailes de resucitación y sus omniataques<br>son superfuertes contra enemigos sin rasgos. Matacolosos.	
658	Una forma de vida misteriosa con aspecto de huevo.<br>La roña de muchos siglos oscurece su superficie<br>y la erosión revela los caracteres N101 escritos en él.	Una forma de vida misteriosa con aspecto de huevo rojo.<br>Parece emitir débiles señales de vida.<br>Superfuerte contra enemigos rojos.	Un gato que honra las vidas de los mensajeros de antaño.<br>Ahora mismo está repartiendo productos muy frágiles.<br>Superfuerte contra enemigos rojos. Matamastodontes.
659	Una forma de vida misteriosa con aspecto de huevo.<br>La roña de muchos siglos oscurece su superficie<br>y la erosión revela los caracteres N102 escritos en él.	Una forma de vida misteriosa con aspecto de huevo verde.<br>Parece emitir débiles señales de vida.<br>Eficaz contra álienes.	El líder de una banda de gatos salvajes de la jungla. Siempre<br>está cazando para saciar el hambre voraz de su esposa.<br>Eficaz contra álienes. Matamastodontes. (Ataque de área).
660	Un dragón que gobernó los mares bajo la supervisión de los<br>dioses. Destruye a enemigos con su increíble poder. Ralentiza<br>a ángeles y voladores. Matacolosos. (Ataque de área).	Un dragón que alberga la implacable furia de los mares.<br>Destruye a enemigos con su increíble poder. Ralentiza<br>a ángeles y voladores. Matacolosos. (Ataque de área).	
661	Una diosa que gobierna el tiempo con su vestido de novia.<br>Protege el amor eterno con su Cacharro del Destino. Inflige<br>penalizaciones a enemigos con rasgos y lanza minioleadas.	Una diosa del tiempo que ahora está prometida.<br>Su Cacharro del Destino determina su lazo de amor. Inflige<br>penalizaciones a enemigos con rasgos y lanza minioleadas.	
662	Una unidad con golpes precisos y buena velocidad.<br>Gracias al adoctrinamiento, ha aprendido a maldecir<br>a enemigos negros y akus. Lanza muchos golpes.	Una unidad con golpes precisos y buena velocidad.<br>Gracias al adoctrinamiento, ha aprendido a maldecir<br>a enemigos negros y akus. ¡Y ahora es más estilosa que nunca!	
663	Una forma de vida misteriosa con aspecto de huevo.<br>La roña de muchos siglos oscurece su superficie<br>y la erosión revela los caracteres N103 escritos en él.	Una forma de vida misteriosa con aspecto de huevo negro.<br>Parece emitir débiles señales de vida.<br>Duro contra enemigos negros.	Por culpa de la alergia, tiene que llevar una máscara antigás<br>y destruir todas las plantas a la que es alérgico.<br>Duro contra enemigos negros. Matamastodontes.
664	Una forma de vida misteriosa con aspecto de huevo.<br>La roña de muchos siglos oscurece su superficie<br>y la erosión revela los caracteres N104 escritos en él.	Una forma de vida misteriosa con aspecto de huevo verde.<br>Parece emitir débiles señales de vida.<br>Tiene una pequeña probabilidad de desgastar a voladores.	Siempre dispuesto a realizar una operación a corazón abierto.<br>Úsalo si necesitas velocidad y precisión.<br>Desgasta a enemigos voladores. Matamastodontes.
665	Una forma de vida misteriosa con aspecto de huevo.<br>La roña de muchos siglos oscurece su superficie<br>y la erosión revela los caracteres N201 escritos en él.	Una forma de vida misteriosa con aspecto de huevo negro.<br>Parece emitir débiles señales de vida.<br>Tiene una pequeña probabilidad de paralizar a akus.	Exorciza cualquier actividad paranormal en media hora.<br>Ni los espíritus más tercos resisten su olor a ajo.<br>Matamastodontes con pequeña probabilidad de paralizar a akus.
666	Una belleza con un aura de locura que acecha en las playas<br>por diversión. Atrae a víctimas para experimentar con ellas.<br>Eficaz contra álienes y sin rasgos. (Ataque de área).	Una belleza que acecha en las playas buscando amor.<br>Envenena con cócteles a víctimas desprevenidas. Eficaz<br>contra enemigos álienes y sin rasgos. (Ataque de área).	
667	Tiene poca defensa, pero puede golpear a varios enemigos<br>con un gran poder de ataque. Gracias al poder de aku,<br>es superfuerte contra enemigos sin rasgos. (Ataque de área).	Un gato diseñado para desafiar la ley de la gravedad.<br>Castiga a muchos enemigos a la vez. Gracias al poder de aku,<br>es superfuerte contra enemigos sin rasgos. (Ataque de área).	
668	Un gato que ha soportado todo tipo de dificultades entrenando<br>en las montañas para convertirse en yokai. Es matacolosos<br>y eficaz contra enemigos rojos y ángeles. Puede repeler.	Despertó sus facultades mentales con entrenamiento.<br>Controla el fuego y el viento. Es matacolosos<br>y eficaz contra enemigos rojos y ángeles. Puede repeler.	
669	Un artefacto de otro mundo con forma de huevo<br>y cubierto por la mugre de varios siglos.<br>Tiene una inscripción con el texto N003.	Una forma de vida misteriosa con aspecto de huevo malvado.<br>Parece emitir débiles señales de vida.<br>Eficaz contra akus.	Un gato espinoso disponible en las tiendas para el hogar.<br>Suele infligir daño con su lengua afilada. Es eficaz contra<br>akus e inmune a las réplicas.
