000	Il gatto base<br><br>	Punto a favore: definizione muscolare.<br>Gatto base.<br>	Punto a favore: definizione muscolare.<br>Altro punto a favore: capelli bellissimi.<br>
649	Ninja trasformato in una pantera da uno iaito maledetto.<br>Un colpo rapido, e la missione è completata. Ammazzagiganti<br>danni enormi a neri/fluttuanti, 100% immobilità.	Assassino senza eguali che elimina i bersagli con velocità,<br>rilasciando il potere della sua lama maledetta. Ammazzagiganti<br>danni enormi a neri/fluttuanti, 100% immobilità.	Assassino impareggiabile che ha scatenato la forza della<br>rilasciando il potere della sua lama maledetta. Ammazzagiganti<br>Danni enormi a neri/fluttuanti, 100% immobilità.
650	Ha intelligenza, carisma e bellezza... e vive qui accanto?!<br>Peccato che sia fuori dalla tua portata!<br>Attacchi ad area infliggono danni enormi ai senza tratti.	Una bellissima gatta che adora i picnic al parco,<br>prepara sempre dei panini con miagrumi.<br>Attacchi ad area infliggono danni enormi ai senza tratti.	
651	Esce di fretta ogni mattina con la colazione ancora<br>in bocca mentre corre a incontrare la sua cotta<br>sulla via per la scuola. Efficace vs nemici neri.	Ha ereditato la leggendaria maschera Girl Boss! Fa volare<br>chi cammina piano mentre sfreccia per arrivare a scuola<br>in orario. Efficace vs nemici neri.	
652	Una matricola che ama la lavagna pulita. Ricordati<br>di togliere la polvere di gesso quando hai finito!<br>Efficace vs nemici rossi, con attacchi ad area.	Veterano del comitato disciplinare, è il<br>temuto leader della squadra che cancella i graffiti.<br>Efficace vs nemici rossi, con attacchi ad area.	
653	Dopo aver assistito alla potenza dei Gatti, ha deciso di<br>appoggiarli. Colpisce gli intrusi con fulmini purificatori.<br>Efficace vs antichi, con possibilità di indebolimento (area)	Un essere benevolente che sogna l'armonia tra tutte le<br>creature, purificando i malvagi con fulmini sacri.<br>Efficace vs antichi, con possibilità di indebolimento (area)	Una creatura sacra che trova la bellezza in mezzo al caos.<br>Ammazzagiganti/Ammazza Behemoth. Efficace vs antichi,<br>probabilità del 100% di indebolire. (Attacco ad area)
654	Programmato con il controllo della mente per<br>colpire usando potenti attacchi a distanza<br>con probabilità del 100% di attacchi a valanga.	Gatto plagiato che va fiero<br>delle sue bellissime gambe, programmato per<br>avere una probabilità del 100% di attacchi a valanga.	
655	Spettro di ghiaccio proveniente dai confini del cosmo,<br>che risiede su un pianeta eternamente congelato.<br>Può rallentare alieni/zombi.	Controllando il freddo che gela la materia che le circonda,<br>questo spirito infrange le barriere con infidi ghiaccioli.<br>Ammazzagiganti, forte vs e rallenta alieni e zombi al 100%.	
656	Manufatto ultraterreno a forma di uovo,<br>ricoperto da una patina di innumerevoli secoli.<br>Una piccola incisione riporta "N001".	Un uovo ultraterreno con uno splendente guscio bianco.<br>Dall'interno sembrano provenire segni di vita.<br>Resistente agli attacchi dei nemici senza tratti.	Un oggetto scoperto nel giardino di una base felina.<br>Ha un grande valore archeologico ed è una buona vedetta.<br>Ammazza Behemoth, forte contro i senza tratti.
657	Iz, nata in un mondo pieno di dolore. Consola<br>gli umani con la sua danza di tristezza e preghiere.<br>Infligge danni enormi ai senza tratti (bilaterale).	Ballerina che prega gli dèi in un mondo di morte<br>e distruzione. La sua danza di rinascita infligge danni<br>bilaterali enormi ai senza tratti, Ammazzagiganti.	
658	Una misteriosa forma di vita con le sembianze di un uovo.<br>Dopo tanti anni, la sua superficie è ricoperta di sporcizia,<br>e l'erosione rivela un'incisione: N101...	Misteriosa forma di vita con le sembianze di un uovo rosso.<br>Sembra che all'interno ci siano deboli segni di vita.<br>Infligge danni enormi ai nemici rossi.	Un Gatto che rende onore alle vite di fattorini vissuti<br>molto tempo fa. Al momento consegna merce molto fragile.<br>Danni enormi ai nemici rossi, Ammazza Behemoth.
659	Una misteriosa forma di vita con le sembianze di un uovo.<br>Dopo tanti anni, la sua superficie è ricoperta di sporcizia,<br>e l'erosione rivela un'incisione: N102...	Misteriosa forma di vita con le sembianze di un uovo verde.<br>Sembra che all'interno ci siano deboli segni di vita.<br>Efficace vs alieni.	Leader di un gruppo di Gatti selvatici della giungla.<br>Alla ricerca di cibo per la fame insaziabile della moglie.<br>Efficace vs alieni, Ammazza Behemoth (attacco ad area)
660	Un drago che un tempo governava i mari sotto lo sguardo<br>divino. Distrugge i nemici con potenza inarrestabile.<br>Att. ad area rallentano fluttuanti/angelici, ammazzagiganti.	Un drago che racchiude il potere inarrestabile dei mari in<br>tempesta. Distrugge i nemici con potenza inarrestabile.<br>Att. ad area rallentano fluttuanti/angelici, ammazzagiganti.	
661	Dea che comanda il tempo indossando abiti da sposa.<br>Protegge l'amore eterno con il suo Orologio benedetto.<br>Infligge effetti negativi sui nemici con tratti, mini-ondata.	Dea del tempo che ha incontrato l'amore, ora è una sposa.<br>Il suo Orologio benedetto conta la durata del loro legame.<br>Infligge effetti negativi sui nemici con tratti, mini-ondata.	
662	Un personaggio con mosse ponderate e buona velocità.<br>Ha ottenuto il potere per maledire nemici Aku e neri dal<br>plagio che ha subìto. Abbatte i nemici con molti colpi.	Un personaggio con mosse ponderate e buona velocità.<br>Ha ottenuto il potere per maledire nemici Aku e neri dal<br>plagio che ha subìto. Ha ricevuto anche un certo stile!	
663	Una misteriosa forma di vita con le sembianze di un uovo.<br>Dopo tanti anni, la sua superficie è ricoperta di sporcizia,<br>e l'erosione rivela un'incisione: N103...	Misteriosa forma di vita con le sembianze di un uovo nero.<br>Sembra che all'interno ci siano deboli segni di vita.<br>Forte vs nemici neri.	Un Gatto con una maschera antigas per le sue allergie.<br>Brucia tutte le piante a cui è allergico.<br>Forte vs nemici neri, Ammazza Behemoth.
664	Una misteriosa forma di vita con le sembianze di un uovo.<br>Dopo tanti anni, la sua superficie è ricoperta di sporcizia,<br>e l'erosione rivela un'incisione: N104...	Misteriosa forma di vita con le sembianze di un uovo verde.<br>Sembra che all'interno ci siano deboli segni di vita.<br>Ha una piccola probabilità di indebolire fluttuanti.	Può preparare in un lampo qualsiasi strumento chirurgico.<br>Usalo quando cerchi l'aiuto di un felino dalle dita veloci!<br>Indebolimento vs nemici fluttuanti, Ammazza Behemoth.
665	Una misteriosa forma di vita con le sembianze di un uovo.<br>Dopo tanti anni, la sua superficie è ricoperta di sporcizia,<br>e l'erosione rivela un'incisione: N201...	Misteriosa forma di vita con le sembianze di un uovo oscuro.<br>Sembra che all'interno ci siano deboli segni di vita.<br>Ha una piccola probabilità di immobilizzare Aku.	Esorcizza attività paranormali in meno di 30 minuti!<br>Anche lo spirito più testardo non resiste al suo tanfo d'aglio.<br>Ammazza Behemoth, piccola probabilità di immobilizzare Aku.
666	Bella ma un po' matta. Spia le spiagge per divertimento.<br>Attira le vittime per fare esperimenti con i cocktail.<br>Efficace contro senza tratti e alieni (Attacco ad area).	Una bellezza che spia le spiagge in cerca del vero amore.<br>Avvelena le ignare vittime con i suoi cocktail.<br>Efficace contro senza tratti e alieni (Attacco ad area).	
667	Difesa bassa, ma può colpire diversi nemici<br>con gran potenza d'attacco. Con il potere degli Aku,<br>infligge danni enormi a senza tratti (Attacco ad area)	Un Gatto progettato per trascendere la gravità.<br>Punisce diversi nemici alla volta. Con il potere Aku,<br>infligge danni enormi a senza tratti (Attacco ad area)	
668	Gatto che ha sopportato un difficile addestramento<br>nelle montagne per diventare uno yokai. Ammazzagiganti,<br>efficace contro rossi/angelici, a volte respinge.	Gatto misterioso. Un duro addestramento ha risvegliato le<br>sue facoltà mentali. Comanda fuoco e vento. Ammazzagiganti,<br>efficace contro rossi/angelici, a volte respinge.	
669	Manufatto ultraterreno a forma di uovo,<br>ricoperto da una patina di innumerevoli secoli.<br>Una piccola incisione riporta "N003".	Misteriosa forma di vita con le sembianze di un uovo malvagio.<br>Sembra che all'interno ci siano deboli segni di vita.<br>Efficace contro i nemici Aku.	Gatto spinoso in vendita dal ferramenta. Tende a fare<br>del male con le sue parole pungenti. Efficace vs Aku,<br>Immune da attacchi a valanga.
670	Manufatto ultraterreno a forma di uovo,<br>ricoperto da una patina di innumerevoli secoli.<br>Una piccola incisione riporta "N202".	Misteriosa forma di vita con le sembianze di un uovo rosso.<br>Sembra che all'interno ci siano deboli segni di vita.<br>A volte indebolisce i nemici rossi/alieni.	Il suo posteriore luminoso fa pensare a estati piene d'amore.<br>Maniaco della pulizia che vive nei fiumi. Ammazza Behemoth,<br>a volte indebolisce rossi/alieni (Att. area)
671	Joining from "Ranma 1/2"! Wrapped in lycra to<br>improve her odds in the gymnastics competition.<br>Freezes Black enemies and Angels (Long-range Area)	Joining from "Ranma 1/2"! Even cheering from the<br>sidelines, her fiery fighting spirit is unmatched!<br>Freezes Black enemies and Angels (Long-range Area)	
672	Joining from "Ranma 1/2"! When doused in water,<br>Cursed Springs magic turns him into a panda.<br>Massive damage to Traitless and Aku (Area attack)	Joining from "Ranma 1/2"! All he wanted was to<br>train with his son Ranma at the Cursed Springs...<br>Massive damage to Traitless and Aku (Area attack).	
673	災?轣ｽもたらすｾ薙とし囚われ封印された迚ｩ?怪物<br>規律を破壊する者の前に現ｾ薙るといわれｾ繧<br>怪物を従える諤ｪ??自らも怪物になら閾ｪよう注意	災?轣ｽもたらすｾ薙とし囚われ封印された迚ｩ?怪物<br>規律を破壊する者の前に現ｾ薙るといわれｾ繧<br>怪物を従える諤ｪ??自らも怪物になら閾ｪよう注意	
674	Un gran spettacolo messo in scena da vari artisti.<br>Incanta il pubblico con numeri oltre le aspettative.<br>Ammazzagiganti, maledice e rallenta neri/zombi.	Una nave aliena discoidale che rapisce le mucche del mondo.<br>Perché? Per sezionarle e studiarle, naturalmente!<br>Ammazzagiganti, maledice e rallenta neri e zombi.	
675	Una misteriosa forma di vita con le sembianze di un uovo.<br>Dopo tanti anni, la sua superficie è ricoperta di sporcizia,<br>e l'erosione rivela un'incisione: N105...	Misteriosa forma di vita con le sembianze di un uovo blu.<br>Sembra che all'interno ci siano deboli segni di vita.<br>A volte respinge gli alieni.	Segue un allenamento molto rigido per diventare la migliore.<br>Batte i rivali con la sua speciale super schiacciata.<br>Potrebbe respingere alieni, Ammazza Behemoth.
676	Una misteriosa forma di vita con le sembianze di un uovo.<br>Dopo tanti anni, la sua superficie è ricoperta di sporcizia,<br>e l'erosione rivela un'incisione: N106...	Misteriosa forma di vita con le sembianze di un uovo giallo.<br>Sembra che all'interno ci siano deboli segni di vita.<br>Infligge danni enormi agli angelici.	Una nuova specie di gatto scoperta nelle profondità<br>di una giungla. Pieno di fibre, ama l'ombra e le aree umide.<br>Infligge danni enormi agli angelici, Ammazza Behemoth.
677	Joining from World Trigger! Captain of Tamakoma<br>Second in the organization Border.<br>(Area Attack)	Joining from World Trigger! A Shooter who wins<br>battles with intelligence and ingenuity.<br>(Area Attack)	
678	Joining from World Trigger! A boy from the<br>Neighborhood with experience on the battlefield.<br>Strong vs Traitless and Red Enemies (Area Atk)	Joining from World Trigger! An Ace Attacker with a<br>Side Effect that lets him see through lies.<br>Strong vs Traitless and Red Enemies (Area Atk)	
679	Joining from World Trigger! Joined Border to find her<br>brother and friend that were captured by Neighbors.<br>100% Slows Black enemies (Ranged Area Atk)	Joining from World Trigger! A Sniper in Tamakoma<br>Second with an abundance of Trions.<br>100% Slows Black enemies (Ranged Area Atk)	
680	Joining the fight from Street Fighter V!<br>Eagerly followed her idol into the world of street fighting.<br>Deals Massive damage to Traited enemies (Omnistrike)	Joining the fight from Street Fighter V!<br>Drives her "Shououken" into enemies, copying her hero.<br>Deals Massive damage to Traited enemies (Omnistrike)	Joining the fight from Street Fighter V!<br>Drives her "Shououken" into enemies copying her hero.<br>Deals Massive damage to Traited enemies (Omnistrike)
681	Joining the fight from Street Fighter V!<br>Excitable young man who spars like a trained soldier.<br>Strong against Traited enemies (Area Attack)	Joining the fight from Street Fighter V!<br>Punishes his enemy with fierce "Flash Knuckles."<br>Strong against Traited enemies (Area Attack)	
682	Una Dea della Morte venuta da un altro mondo.<br>Con il potere delle tenebre, fa fuori i seguaci della luce.<br>Ammazzagiganti, efficace contro nemici con tratti.	Ha chiuso con il suo passato oscuro e inconfessabile<br>e cerca la redenzione nel mondo mortale.<br>Ammazzagiganti, efficace contro nemici con tratti.	
683	Un guerriero oscuro celebrato nei festival all'estero.<br>Si aggira nell'ombra e sferra colpi rapidi e fatali.<br>Danni enormi a fluttanti, sopravvive di rado a colpi mortali.	Guerriero diventato vampiro per un miracolo di Halloween.<br>Usa i suoi artigli per proteggere la sacralità del 31 ott.<br>Danni enormi a fluttanti, sopravvive di rado a colpi mortali.	
684	Gatto con eccezionale abilità nelle zuffe, programmato<br>col controllo della mente per essere efficace vs zombi,<br>con l'abilità di impedire agli zombi di rianimarsi.	Gatto programmato con il controllo della mente<br>per diventare una balena carnivora.<br>Efficace vs zombi, con ammazza zombi.	
685	Manufatto ultraterreno a forma di uovo,<br>ricoperto da una patina di innumerevoli secoli.<br>Una piccola incisione riporta "N004".	Un uovo ultraterreno con uno splendente guscio bianco.<br>Dall'interno sembrano provenire segni di vita.<br>Ha una piccola probabilità di respingere nemici con tratti.	Guida un'auto ecologica che va a combustibile rinnovabile.<br>Il clacson ad alta frequenza respinge i nemici con tratti.<br>Rompe le barriere e perfora scudi.
686	Dea della luce che discende dalle stelle più luminose.<br>Doma con giustizia anche il più piccolo dei mali.<br>Efficace contro giganti e nemici con tratti.	Dea della luce che mantiene il mondo sulla retta via.<br>Punisce il male con tutta la sua forza.<br>Efficace contro giganti e nemici con tratti.	
