000	Die Standardkatze.<br><br>	Verkaufsargument: definierte Muskeln.<br>Standardkatze.<br>	Verkaufsargument: definierte Muskeln.<br>Zusatzargument: hübsche Frisur.<br>
648	Wild aussehender Punk-Anführer, der oft Dämon genannt wird.<br>Haut seinen Schwarm gern mit einem Strauß als Liebesbeweis.<br>Ruft bei Feinden mit Werten diverse negative Effekte hervor.	Punk-Anführer mit wildem Herzen, der oft Dämon genannt wird.<br>Wenn der Strauß dich trifft, lernst du, was Liebe ist.<br>Ruft bei Feinden mit Werten diverse negative Effekte hervor.	
649	Ninja, der von einem verfluchten Iaito in einen Panther<br>verwandelt wurde. Ein Hieb, schon ist die Mission erledigt.<br>Kolosstöter, heft. Schaden gg. Schw./Flieg., Einfrieren 100%	Unvergleichlicher Assassine, der Ziele gottgleich schnell<br>verwandelt wurde. Ein Hieb, schon ist die Mission erledigt.<br>heft. Schaden gg. Schwarz/Fliegend, friert garantiert ein.	Unvergleichlicher Assassine, der die Macht seiner verfluchten<br>verwandelt wurde. Ein Hieb, schon ist die Mission erledigt.<br>Heft. Schaden gg. Schwarze/Fliegende, friert garantiert ein.
650	Intelligenz, Charisma und Schönheit ... und sie wohnt gleich<br>nebenan?! Zu schade, dass du unter ihrem Niveau bist ...<br>Flächenangriffe verursachen heftigen Schaden gegen Wertelose.	Eine wunderhübsche Katze, die Picknicks im Park liebt und<br>selbstgemachte Katzenfrucht-Sandwiches mitbringt.<br>Flächenangriffe verursachen heftigen Schaden gegen Wertelose.	
651	Rast jeden Tag aus der Tür, während sie noch Toast futtert,<br>um ihren Schwarm auf dem Schulweg abzufangen.<br>Stark gegen schwarze Feinde.	Hat die legendäre Girlboss-Maske geerbt! Wirbelt Schleicher<br>hoch, während sie losrast, um rechtzeitig zur Schule<br>zu kommen. Stark gegen schwarze Feinde.	
652	Ein Ersti, der saubere Tafeln liebt. Vergiss nicht, den<br>Staub abzuklopfen, wenn du fertig bist!<br>Robust gegen rote Feinde, mit Flächenangriffen.	Veteran des Disziplinarausschusses und gefürchteter Anführer<br>des Graffiti-Beseitigungstrupps.<br>Robust gegen rote Feinde, mit Flächenangriffen.	
653	Hat sich den Katzen angeschlossen, nachdem sie ihre Macht<br>erlebt hat. Straft Eindringlinge mit läuternden Blitzen.<br>Stark gegen Relikte, mit Chance auf Schwächen (Flächenang.)	Ein gütiges Wesen, dass sich Harmonie zwischen allen Wesen<br>wünscht und Missetäter mit heiligen Blitzen straft.<br>Stark gegen Relikte, mit Chance auf Schwächen (Flächenang.)	Heilige Bestie, die Schönes in chaotischem Verlangen findet.<br>Koloss-/Behemothtöter. Stark gegen Relikt-Feinde.<br>100 %-Chance auf Schwächen (Flächenang.)
654	Durch Gedankenkontrolle programmiert, mit mächtigen<br>Distanzangriffen zuzuschlagen, die garantiert<br>Zufallsangriffe auslösen.	Gedankenkontrollierte Katze mit Stolz auf seine überaus<br>hübschen Beine, programmiert, garantiert<br>Zufallsangriffe auszuführen.	
655	Eisgeist vom Rande des Kosmos. Lebt auf einem<br>ewig gefrorenen Planeten.<br>Kann Aliens/Zombies lähmen.	Beherrscht Frost, der alle umgebene Materie einfriert. Dieser<br>Der Geist zerschmettert Barrieren mit bösartigen Eiszapfen.<br>Kolosstöterin, robust gegen Aliens & Zombies & lähmt 100 %.	Beherrscht Frost, der alle umgebene Materie einfriert. Dieser<br>Der Geist zerschmettert Barrieren mit bösartigen Eiszapfen.<br>Kolosstöter, robust gg. Aliens/Zombies, lähmt sie garantiert.
656	Ein anderweltliches Artefakt in Form eines Eis. Vom Dreck<br>zahlloser Jahrhunderte bedeckt.<br>Eine kleine Inschrift besagt „N001“.	Ein anderweltliches Ei mit glänzend weißer Schale.<br>Aus seinem Inneren gibt es scheinbar Lebenszeichen.<br>Resistent gegen Angriffe werteloser Feinde.	Aus dem Garten einer Katzenbasis ausgegraben.<br>Von großem archäologischen Wert und ein guter Späher.<br>Behemothtöter und robust gegen Wertelose.
657	Iz, in einer Welt voller Kummer geboren. Tröstet Menschen<br>mit ihrem Trauertanz und mit Gebeten.<br>Heftiger Schaden gegen wertelose Feinde (Rundumschlag).	Tänzerin, die in einer Welt voller Tod und Zerstörung zu<br>den Göttern betet. Ihre Erweckungstänze verursachen heftigen<br>Schaden bei Wertelosen. Kolosstöter.	
658	Eine mysteriöse Lebensform in Gestalt eines Eis.<br>Nach vielen Jahren klebt Schmutz an ihrer Oberfläche und<br>Erosion hat ein eingeritztes „N101“ freigelegt ...	Eine mysteriöse Lebensform in Gestalt eines roten Eis.<br>Aus seinem Inneren gibt es scheinbar Lebenszeichen.<br>Fügt roten Feinden heftigen Schaden zu.	Eine Katze, die die Lieferanten ehrt, die vor langer Zeit<br>lebten. Liefert momentan sehr zerbrechliche Waren.<br>Fügt roten Feinden heftigen Schaden zu. Behemothtöter.
659	Eine mysteriöse Lebensform in Gestalt eines Eis.<br>Nach vielen Jahren klebt Schmutz an ihrer Oberfläche und<br>Erosion hat ein eingeritztes „N102“ freigelegt ...	Eine mysteriöse Lebensform in Gestalt eines grünen Eis.<br>Aus seinem Inneren gibt es scheinbar Lebenszeichen.<br>Stark gegen Aliens.	Anführer einer Gruppe wilder Katzen im Dschungel.<br>Jagd Nahrung für seine unersättliche Frau.<br>Stark gegen Aliens, Behemothtöter (Flächenangriff).
660	Ein Drache, der vor langer Zeit unter den Göttern über die<br>Meere herrschte. Zerstört Feinde mit überwältigender Macht.<br>Flächenangriffe lähmen fliegende/Engel-Feinde. Kolosstöter.	Ein Drache, dem die unerbittliche Macht der wütenden Ozeane<br>innewohnt. Zerstört Feinde mit überwältigender Macht.<br>Flächenangriffe lähmen fliegende/Engel-Feinde. Kolosstöter.	
661	Göttin, die über die Zeit herrscht, als Braut gekleidet.<br>Schützt ewige Liebe mit ihrer gesegneten Uhr.<br>Fügt feinden negative Statuseffekte zu. Mini-Welle.	Zeitgöttin, die ihren Versprochenen gefunden hat und nun eine<br>Braut ist. Ihre Uhr zählt die Länge ihrer Bindung.<br>Fügt feinden negative Statuseffekte zu. Mini-Welle.	
662	Ein Charakter mit bedachter Bewegung und gutem Tempo.<br>Hat durch die Gehirnwäsche die Macht, Aku und schwarze Feinde<br>zu verfluchen. Schlägt Feinde mit vielen Treffern nieder.	Ein Charakter mit bedachter Bewegung und gutem Tempo.<br>Hat durch die Gehirnwäsche die Macht, Aku und schwarze Feinde<br>zu verfluchen. Und ist jetzt noch stilvoller!	
663	Eine mysteriöse Lebensform in Gestalt eines Eis.<br>Nach vielen Jahren klebt Schmutz an ihrer Oberfläche und<br>Erosion hat ein eingeritztes „N103“ freigelegt ...	Eine mysteriöse Lebensform in Gestalt eines schwarzen Eis.<br>Aus seinem Inneren gibt es anscheinend Lebenszeichen.<br>Robust gegen schwarze Feinde.	Eine Katze mit einer Gasmaske gegen ihre Allergien.<br>Verbrennt jede Pflanze, gegen die sie allergisch ist.<br>Robust gegen schwarze Feinde, Behemothtöter.
664	Eine mysteriöse Lebensform in Gestalt eines Eis.<br>Nach vielen Jahren klebt Schmutz an ihrer Oberfläche und<br>Erosion hat ein eingeritztes „N104“ freigelegt ...	Eine mysteriöse Lebensform in Gestalt eines grünen Eis.<br>Aus seinem Inneren gibt es anscheinend Lebenszeichen.<br>Geringe Chance, Fliegende Feinde zu schwächen.	Kann jedes chirurgische Instrument im Handumdrehen<br>vorbereiten. Nutze sie als flinkfingrige Hilfe in der Not!<br>Schwächt fliegende Feinde, Behemothtöter.
665	Eine mysteriöse Lebensform in Gestalt eines Eis.<br>Nach vielen Jahren klebt Schmutz an ihrer Oberfläche und<br>Erosion hat ein eingeritztes „N201“ freigelegt ...	Eine mysteriöse Lebensform in Gestalt eines dunklen Eis.<br>Aus seinem Inneren gibt es anscheinend Lebenszeichen.<br>Geringe Chance, Aku-Feinde einzufrieren.	Vertreibt jede paranormale Aktivität in unter 30 Minuten!<br>Selbst der zäheste Geist muss dem Knoblauchdunst weichen.<br>Behemothtöter, kleine Chance auf Einfrieren von Aku.
666	Schönheit mit verrückter Aura. Lauert zum Spaß an Stränden.<br>Lockt Opfer für Cocktail-Experimente an.<br>Stark gegen wertelose und Alien-Feinde (Flächenangriff).	Schönheit, die für wahre Liebe an Stränden lauert.<br>Vergiftet ahnungslose Opfer mit gemixten Cocktails.<br>Stark gegen wertelose und Alien-Feinde (Flächenangriff).	
667	Niedrige Verteidigung, kann jedoch mehrere Feinde<br>mit hoher Angriffskraft treffen. Nutzt die Macht der Aku für<br>heftigen Schaden gegen wertelose Feinde (Flächenangriff).	Zum Überwinden der Schwerkraft konstruierte Katze.<br>Straft viele Feinde gleichzeitig. Nutzt Aku-Macht für<br>heftigen Schaden gegen wertelose Feinde (Flächenangriff).	
668	Katze, die ein umfassendes schweres Training in den<br>Bergen ertrug, um ein Yokai zu werden. Kolosstöter,<br>stark gegen rote und Engel-Feinde, manchmal Rückstoß.	Geheimnisvolle Katze. Erweckte ihre innersten Geisteskräfte<br>mit hartem Training. Nutzt Feuer und Wind. Kolosstöter,<br>stark gegen rote und Engel-Feinde, manchmal Rückstoß.	
669	Ein anderweltliches Artefakt in Form eines Eis. Vom Dreck<br>zahlloser Jahrhunderte bedeckt.<br>Eine kleine Inschrift besagt „N003“.	Mysteriöse Lebensform in Gestalt eines bösen Eis.<br>Aus seinem Inneren gibt es anscheinend Lebenszeichen.<br>Stark gegen Aku-Feinde.	Stachelige Katze, erhältlich im Baumarkt. Richtet mit ihren<br>spitzen Worten oft Schaden an. Stark gegen Aku,<br>immun gegen Zufallsangriffe.
670	Anderweltliches Artefakt in Form eines Eis. Vom Dreck<br>zahlloser Jahrhunderte bedeckt.<br>Eine kleine Inschrift besagt „N202“.	Mysteriöse Lebensform in Gestalt eines roten Eis.<br>Aus seinem Inneren gibt es anscheinend Lebenszeichen.<br>Kann rote und Alien-Feinde schwächen.	Ihr leuchtendes Hinterteil erinnert an Sommer voller Liebe.<br>Überaus reinlich und lebt nur in Flüssen. Behemothtöter,<br>kann rote und Alien-Feinde schwächen (Flächenangriff).
671	Joining from "Ranma 1/2"! Wrapped in lycra to<br>improve her odds in the gymnastics competition.<br>Freezes Black enemies and Angels (Long-range Area)	Joining from "Ranma 1/2"! Even cheering from the<br>sidelines, her fiery fighting spirit is unmatched!<br>Freezes Black enemies and Angels (Long-range Area)	
672	Joining from "Ranma 1/2"! When doused in water,<br>Cursed Springs magic turns him into a panda.<br>Massive damage to Traitless and Aku (Area attack)	Joining from "Ranma 1/2"! All he wanted was to<br>train with his son Ranma at the Cursed Springs...<br>Massive damage to Traitless and Aku (Area attack).	
673	災?轣ｽもたらすｾ薙とし囚われ封印された迚ｩ?怪物<br>規律を破壊する者の前に現ｾ薙るといわれｾ繧<br>怪物を従える諤ｪ??自らも怪物になら閾ｪよう注意	災?轣ｽもたらすｾ薙とし囚われ封印された迚ｩ?怪物<br>規律を破壊する者の前に現ｾ薙るといわれｾ繧<br>怪物を従える諤ｪ??自らも怪物になら閾ｪよう注意	
674	Eine Riesenshow einer ganzen Reihe von Schaustellern.<br>Verzaubert das Publikum mit überwältigenden Kunststücken.<br>Kolosstöter, verflucht & lähmt schwarze Feinde & Zombies.	Ein scheibenförmiges Alien-Schiff, das Kühe entführt.<br>Wieso? Um sie zu sezieren und zu studieren natürlich!<br>Kolosstöter, verflucht & lähmt schwarze Feinde & Zombies.	
675	Eine mysteriöse Lebensform in Gestalt eines Eis.<br>Nach vielen Jahren klebt Schmutz an ihrer Oberfläche und<br>Erosion hat ein eingeritztes „N105“ freigelegt ...	Eine mysteriöse Lebensform in Gestalt eines blauen Eis.<br>Aus seinem Inneren gibt es anscheinend Lebenszeichen.<br>Stößt Aliens manchmal zurück.	Erträgt striktes Training, um die Beste zu werden.<br>Schlägt Rivalen mit ihrer Spezialtechnik „Super-Smash“.<br>Kann Aliens/Behemothtöter zurückstoßen.
676	Eine mysteriöse Lebensform in Gestalt eines Eis.<br>Nach vielen Jahren klebt Schmutz an ihrer Oberfläche und<br>Erosion hat ein eingeritztes „N106“ freigelegt ...	Eine mysteriöse Lebensform in Gestalt eines gelben Eis.<br>Aus seinem Inneren gibt es anscheinend Lebenszeichen.<br>Heftiger Schaden gegen Engel.	Eine neue Katzenspezies, die in den Tiefen eines Dschungels<br>entdeckt wurde. Ballaststoffreich. Mag es schattig & feucht.<br>Heftiger Schaden gegen Engel/Behemothtöter.
677	Joining from World Trigger! Captain of Tamakoma<br>Second in the organization Border.<br>(Area Attack)	Joining from World Trigger! A Shooter who wins<br>battles with intelligence and ingenuity.<br>(Area Attack)	
678	Joining from World Trigger! A boy from the<br>Neighborhood with experience on the battlefield.<br>Strong vs Traitless and Red Enemies (Area Atk)	Joining from World Trigger! An Ace Attacker with a<br>Side Effect that lets him see through lies.<br>Strong vs Traitless and Red Enemies (Area Atk)	
679	Joining from World Trigger! Joined Border to find her<br>brother and friend that were captured by Neighbors.<br>100% Slows Black enemies (Ranged Area Atk)	Joining from World Trigger! A Sniper in Tamakoma<br>Second with an abundance of Trions.<br>100% Slows Black enemies (Ranged Area Atk)	
680	Joining the fight from Street Fighter V!<br>Eagerly followed her idol into the world of street fighting.<br>Deals Massive damage to Traited enemies (Omnistrike)	Joining the fight from Street Fighter V!<br>Drives her "Shououken" into enemies, copying her hero.<br>Deals Massive damage to Traited enemies (Omnistrike)	Joining the fight from Street Fighter V!<br>Drives her "Shououken" into enemies copying her hero.<br>Deals Massive damage to Traited enemies (Omnistrike)
681	Joining the fight from Street Fighter V!<br>Excitable young man who spars like a trained soldier.<br>Strong against Traited enemies (Area Attack)	Joining the fight from Street Fighter V!<br>Punishes his enemy with fierce "Flash Knuckles."<br>Strong against Traited enemies (Area Attack)	
682	Göttin des Todes aus einer anderen Welt.<br>Löscht mit der Kraft der Dunkelheit Licht-Gefolgsleute aus.<br>Kolosstöter, stark gegen Feinde mit Werten.	Sie hat ihre dunkle, unaussprechliche Vergangenheit verborgen<br>und sucht Sühne in der Welt der Sterblichen.<br>Kolosstöter, stark gegen Feinde mit Werten.	
683	Ein dunkler Krieger, der in fremden Festen gefeiert wird.<br>Lauert im Schatten und schlägt schnell und tödlich zu.<br>Heftiger Schaden gg. Fliegende, überlebt tödliche Treffer selten.	Durch ein Halloweenwunder zum Vampir gewordener Krieger.<br>Nutzt seine scharfen Klauen, um den 31. Okt. zu schützen.<br>Heftiger Schaden gg. Fliegende, überlebt tödliche Treffer selten.	
684	Katze mit außergewöhnlicher Nahkampfkraft, mit Gedanken-<br>kontrolle programmiert, um stark gegen Zombies zu sein. Kann<br>Zombies an der Wiederbelebung hindern.	Durch Gedankenkontrolle programmiert, um zu einem<br>fleischfressenden Wal zu werden, der stark gegen Zombies ist<br>und über „Zombietöter“ verfügt.	
685	Ein anderweltliches Artefakt in Form eines Eis.<br>Vom Dreck zahlloser Jahrhunderte bedeckt.<br>Eine kleine Inschrift besagt „N004“.	Ein anderweltliches Ei mit glänzend weißer Schale.<br>Aus seinem Inneren gibt es scheinbar Lebenszeichen.<br>Geringe Chance auf Rückstoß bei Feinden mit Werten.	Fährt ein ökofreundliches Auto mit erneuerbarem Treibstoff.<br>Hochfrequenzhupe stößt Feinde mit Werten zurück.<br>Bricht Barrieren und durchdringt Schilde.
686	Göttin des Lichts, vom hellsten aller Sterne herabgestiegen.<br>Erdrückt selbst das kleinste Böse mit Gerechtigkeit.<br>Stark gegen kolossale Feinde und Feinde mit Werten.	Göttin des Lichts, die die Welt auf dem rechten Weg hält.<br>Verurteilt großes Böses mit aller Macht.<br>Stark gegen kolossale Feinde und Feinde mit Werten.	
687	Das Genie-Mädel wollte sich zu den Feiertagen verkleiden.<br>Bekämpft alle, die Weihnachten ruinieren wollen.<br>Stark gegen kolossale, schwarze und Alien-Feinde.	Genie-Jägerin, die mit einer Freundin auf dem Weg zu einer<br>Weihnachtsfeier ist. Ihre Beute wird die Haupt-Tischdeko.<br>Stark gegen kolossale, schwarze und Alien-Feinde.	
688	Reptilartige Katze, die entfernte Feinde angreift,<br>durch Gedankenkontrolle programmiert, einen einzigen<br>schlagkräftigen Distanzangriff auszuführen.	Distanzangreifer aus einer Fantasywelt, mit heftigen<br>Angriff auf Einzelfeinde und teuflischem Design durch<br>Gedankenkontrolle-Programmierung.	
689			
690	Spielzeug des Schicksals mit zerstörerischer Bestimmung.<br>Ahnt nichts von seiner schlummernden Macht.<br>Heftiger Schaden gegen Feinde mit Werten (Distanz-Flächenan.)	Mystische Katze, die mit dem Feuer des Schicksals brennt.<br>Wird die Menschheit bis zum letzten Atemzug schützen.<br>Heftiger Schaden gegen Feinde mit Werten (Distanz-Flächenan.)	
691	Ein anderweltliches Artefakt in Form eines Eis. Vom Dreck<br>zahlloser Jahrhunderte bedeckt.<br>Eine kleine Inschrift besagt „N000“.	Eine mysteriöse Lebensform in Gestalt eines alten Eies.<br>Aus seinem Inneren gibt es anscheinend Lebenszeichen.<br>Robust gegen und heftiger Schaden gegen Engel.	Eine kürzlich erwachte, schneeweiße Affenkatze. Liebt eine<br>Affenbossmaske, die man ihm vom Jahrmarkt mitgebracht hat.<br>Robust gegen und heftiger Schaden gegen Engel.
692	Reisende Akupunkturkatze, ist als Agentin auf Mission,<br>eine große Organisation zu infiltrieren und zu zerstören.<br>Heftiger Schaden gegen wertelose Feinde und Engel.	Geschickter Agent, der eine schöne Spionin vor der<br>Organisation ONI rettete und mit deren U-Boot entkam.<br>Heftiger Schaden gegen wertelose Feinde und Engel.	
693	Ein Dämonendetektiv, der verdeckt ermittelt<br>"Persönliche Gefühle sind in Ermittlungen fehl am Platz."<br>Wellenangriffe können rote Feinde und Aku einfrieren.	Findet kurz vor dem Ende seiner Ermittlungen unwillentlich<br>die wahre Liebe, die seine Anstrengungen gefährdet.<br>Wellenangriffe können schwarze Feinde und Aku einfrieren.	
