000	Le Chat de base.<br><br>	Son atout charme : ses muscles bien dessinés.<br>Un Chat de base.<br>	Son atout charme : ses muscles bien dessinés.<br>Autre atout charme : ses beaux cheveux.<br>
629	Chat de base rentable qui a été programmé<br>par contrôle mental pour obtenir une chance<br>d'esquiver les attaques des ennemis noirs et Akus.	Son atout charme : ses muscles bien dessinés.<br>Chance d'esquiver les att. des ennemis noirs et Akus<br>obtenue par programmation mentale.	
630	Artiste dont la signature implique un énorme pinceau<br>et tout plein de ratures car il est nul en orthographe.<br>Assure contre les reliques.	Sert des quantités industrielles de thé grâce à son fouet<br>à thé personnalisé, et régale tout l'Empire des Chats.<br>Assure contre les reliques, immunité aux vagues/répliques.	
631	Un spectre des ténèbres, né des profondeurs<br>de l'espace et venu sur Terre dans une météorite.<br>Chance d'affaiblir les ennemis aliens et Akus.	Crée un trou noir pouvant facilement désorbiter<br>les planètes et briser les barrières !<br>Balèze contre aliens et Akus, 100 % d'affaiblissement.	Sombre seigneur des esprits dévorant la lumière stellaire.<br>Perce les barrières et bloque les vagues offensives.<br>Balèze contre aliens et Akus, 100 % d’affaiblissement.
632	Des Chats maraudeurs à bord d'un véhicule alimenté<br>par l'énergie des Akus. Ils viennent pour conquérir !<br>Dégâts de zone massifs sur les zombies/anges/Akus.	Armement de pointe utilisant la technologie des Akus.<br>Son canon à rails oblitère tout jusqu'à l'horizon.<br>Dégâts de zone massifs sur les zombies/anges/Akus.	Une arme de destruction massive de la technologie Aku.<br>Aucune autre arme sur la planète ne peut la stopper.<br>Inflige des dégâts massifs aux Zombies, anges et Akus.
633	Chasseur de trésor qui a « découvert » un coffre hanté<br>dans la demeure d'un moineau. Mini-vagues et chance de<br>repousser/maudire les Akus et les anges.	Des chasseurs de fantômes associés à des esprits de coffre<br>pour capturer des yokai dans un ecto-filet sophistiqué.<br>Chance de mini-vagues, repousse/maudit à 100 % Akus/anges.	Des chasseurs de fantômes gagnant bien leur vie.<br>Capturent des fantômes avec leur équipement top-niveau.<br>Mini-vagues, repousse/maudit à 100 % les Akus/anges.
634	Tueur de démons, protecteur des innocents, manie la foudre<br>sacrée pour annihiler les enfants des ténèbres.<br>Peut immobiliser Akus/aliens, perforation de bouclier.	Féroce soldat qui a sacrifié son corps aux Akus<br>en échange du pouvoir absolu d'oblitérer le mal.<br>Assure contre Akus et aliens.	
635			
636	Chat à santé élevée, capable de soulever un caillou.<br>Programmé par contrôle mental pour obtenir<br>des attaques de zone, hyper balèze.	Chat à la défense rigide, programmé par contrôle<br>mental pour obtenir la force de soulever un petit caillou.<br>Attaques de zone, hyper balèze.	
637			
638			
639			
640			
641	Une danseuse qui veut donner le sourire aux gens,<br>mais qui n’a pas conscience de sa puissance.<br>Dégâts devant-derrière massifs contre ennemis à caract.	Une danseuse très gracieuse qui vous hypnotise.<br>Utilise un pouvoir magique infligeant des dégâts insensés<br>aux ennemis à caract. Se renforce en subissant des dégâts !	
642	Exclu après avoir tenté d'acquérir des pouvoirs interdits.<br>Annihile ses adversaires avec sa Lame infernale d'ange déchu.<br>Balèze contre flottants/Akus. Réplique offensive assurée.	Ennemi du paradis et commandant des légions démoniaques.<br>Assombrit le monde avec sa Lame infernale impie.<br>Balèze contre flottants/Akus. Réplique offensive assurée.	
643	Il a transcendé la mortalité en modifiant le cours du destin.<br>S'approche vite de sa cible et la frappe de sa longue queue.<br>Dégâts massifs aux ennemis reliques (devant-derrière).	Un Chat qui part à l'assaut guidé par sa propre volonté.<br>Cherche la liberté à travers sa pure puissance physique.<br>Dégâts massifs aux ennemis reliques (devant-derrière).	L’incarnation génétique de « l’humanité chattifiée ».<br>Après des années de biorecombinaisons, son éveil est venu.<br>Dégâts massifs aux reliques (devant-derrière).
644	Elle a ajouté du chocolat au carburant du réacteur pour<br>essayer de décoder la structure de l'amour humain.<br>Ses att. de zone peuvent immobiliser les sans caract.	Elle a mal vécu l'absence de résultats de recherches,<br>et son mecha n'en est devenu que plus sombre...<br>Ses att. de zone peuvent immobiliser les ennemis noirs.	Étudie l’amour en préparant des chocolats. Les bonbons<br>faits par ses robots peuvent contenir de l’amour. Ou pas.<br>Att. de zone pouvant immobiliser les reliques.
645	Programmé par contrôle mental pour devenir un<br>maniaque du combat qui assure contre les sans caract.<br>Chance de maudire les cibles.	Un héros en herbe programmé par contrôle mental<br>pour assurer contre les sans caractéristique.<br>Chance de maudire les cibles.	
646	Un Chat très rouge et très chanceux. Protège contre<br>le mal et amène la bonne fortune avec son vacarme incessant.<br>Dégâts massifs aux rouges, peut esquiver les attaques.	Le roi des Chats pétards. Crée le plus bruyant spectacle<br>sons et lumières de tous les Chats pétards.<br>Dégâts massifs aux rouges, peut esquiver les attaques.	
647	Depuis cette invitation à une chasse, sa vie a changé.<br>Traque sa proie avec les tirs de son arc de foudre.<br>Fléau des colosses, att. de zone ralentissant rouges/aliens.	D'un calme et d'une intelligence surnaturels, elle frappe<br>sans faillir le point faible de sa gigantesque proie.<br>Fléau des colosses, att. de zone ralentissant rouges/aliens.	
648	Un chef voyou à l'air méchant souvent appelé Démon.<br>Frappe ceux qui le méritent avec son bouquet symbolisant<br>l'amour. Inflige divers effets négatifs aux ennemis à caract.	Un chef voyou au cœur fou souvent appelé Démon.<br>Quand son gros bouquet te frappe, tu comprends ce qu'est<br>l'amour. Inflige divers effets négatifs aux ennemis à caract.	
649	Un ninja transformé en panthère par un sabre maudit. Un seul<br>coup vif et bien placé, et la mission est terminée. Fléau des<br>colosses, dég. massifs noirs/flottants, immobilise à 100 %.	Un assassin sans égal qui découpe ses cibles à toute vitesse<br>coup vif et bien placé, et la mission est terminée. Fléau des<br>colosses, dég. massifs noirs/flottants, immobilise à 100%.	Un assassin hors pair qui déchaîne la puissance de sa lame<br>coup vif et bien placé, et la mission est terminée. Fléau des<br>colosses, dég. massifs noirs/flottants, immobilise à 100%.
650	Intelligence, charisme et beauté... et en plus c'est la<br>voisine ?! Dommage qu'elle soit trop bien pour toi...<br>Attaques de zone très puissantes sur les sans caract.	Une très jolie Chatte qui aime pique-niquer dans le parc,<br>elle apporte toujours ses sandwiches de Chagrume maison.<br>Attaques de zone très puissantes sur les sans caract.	
651	Sort toujours en trombe en finissant sa tartine<br>pour retrouver son flirt sur le chemin<br>de l'école. Assure contre les ennemis noirs.	A hérité du masque légendaire de la Boss des filles !<br>Fait valser les plus lents en se ruant pour arriver à<br>l'heure en classe. Assure contre les ennemis noirs.	
652	Élève de première année qui aime les tableaux propres.<br>N'oublie pas d'épousseter quand tu as terminé !<br>Balèze contre les ennemis rouges, attaques de zone.	Vétéran du comité de discipline et chef redouté<br>de l'équipe de nettoyage des graffitis.<br>Balèze contre les ennemis rouges, attaques de zone.	
653	Après avoir découvert la puissance des Chats, elle a décidé<br>de les rejoindre. Frappe avec une foudre purificatrice.<br>Assure contre reliques, chance d'affaiblir (att. de zone).	Un être bienveillant qui veut voir l'harmonie entre toutes<br>les créatures et élimine le mal par ses éclairs sacrés.<br>Assure contre reliques, chance d'affaiblir (att. de zone).	Créature sacrée qui trouve la beauté dans le désir chaotique.<br>Fléau des Colosses/Béhémoths. Assure contre les reliques,<br>Affaiblit à 100 % (Att. de zone)
654	Programmé par contrôle mental pour frapper<br>avec de puissantes attaques longue portée,<br>100 % de chances de répliques offensives.	Un Chat mentalement contrôlé, fier de ses jambes<br>magnifiques, programmé pour avoir<br>100 % de chances de répliques offensives.	
655	Un spectre de glace venu des confins du cosmos,<br>résidant sur une planète couverte de glace éternelle.<br>Peut ralentir aliens et zombies.	Commande au givre pour geler toute la matière autour.<br>Brise les barrières avec ses terribles stalactites.<br>Fléau colosses, balèze + 100 % ralent. contre aliens/zombies.	Commande au givre pour geler toute la matière autour.<br>Brise les barrières avec ses terribles stalactites.<br>Fléau des colosses, balèze/ralent. 100 % contre alien/zombie.
656	Un artefact d'un autre monde en forme d'œuf,<br>couvert de plusieurs siècles de crasse.<br>On peut y lire une petite inscription : « N001 ».	Un œuf d'un autre monde à la coquille blanche et luisante.<br>Il semble y avoir des signes de vie à l'intérieur.<br>Résiste aux attaques des ennemis sans caract.	Un objet déterré dans le jardin d'une base féline.<br>De grande valeur archéologique et bonne vigie.<br>Fléau des Béhémoths, balèze contre les sans caract.
657	Iz est née dans un monde débordant de chagrin. Elle console<br>les humains par la danse et la prière.<br>Dégâts massifs aux ennemis sans caract. (Devant-derrière).	Danseuse qui prie les dieux dans un monde de destruction<br>et de mort. Sa danse revitalisante inflige des dégâts massifs<br>Devant-derrière sur les sans caract. + fléau des colosses.	
658	Une forme de vie mystérieuse qui a l'aspect d'un œuf.<br>Couvert d'une épaisse couche de poussière, on peut tout de<br>même lire l'inscription N101 gravée dessus...	Une forme de vie mystérieuse qui a l'aspect d'un œuf rouge.<br>Il semble y avoir de légers signes de vie à l'intérieur.<br>Inflige des dégâts massifs aux ennemis rouges.	Un Chat qui honore la vie de livreurs disparus depuis<br>longtemps. En pleine livraison d'objets très fragiles.<br>Dégâts massifs aux ennemis rouges + Fléau des Béhémoths.
659	Une forme de vie mystérieuse qui a l'aspect d'un œuf.<br>Couvert d'une épaisse couche de poussière, on peut tout de<br>même lire l'inscription N102 gravée dessus...	Une forme de vie mystérieuse qui a l'aspect d'un œuf vert.<br>Il semble y avoir de légers signes de vie à l'intérieur.<br>Assure contre les aliens.	Le chef d'une bande de Chats sauvages vivant dans la jungle.<br>Cherche toujours à manger car sa femme a un appétit d'ogre.<br>Assure contre aliens + Fléau des Béhémoths (att. de zone).
660	Un dragon qui régnait jadis sur les mers sous le regard<br>des dieux. Anéantit ses ennemis par sa puissance.<br>Att. de zone ralentit flottants/anges, fléau des colosses.	Un dragon doué du pouvoir implacable des mers déchaînées.<br>Sa puissance irrésistible anéantit ses ennemis.<br>Att. de zone ralentit flottants/anges, fléau des colosses.	
661	Déesse du temps, en tenue de mariage.<br>Protège l'amour éternel avec son horloge sacrée.<br>Statuts négatifs aux ennemis avec caract., mini-vague.	Déesse du temps qui a rencontré son âme sœur.<br>Son horloge sacrée mesure la durée de leur lien.<br>Statuts négatifs aux ennemis avec caract., mini-vague.	
662	Un personnage aux gestes vifs et réfléchis.<br>Peut maudire les ennemis noirs et Akus grâce à son lavage<br>de cerveau. Écrase les ennemis sous une pluie de coups.	Un personnage aux gestes vifs et réfléchis.<br>Peut maudire les ennemis noirs et Akus grâce à son lavage<br>de cerveau. Et ce long cou lui donne tant de style !	
663	Une forme de vie mystérieuse qui a l'aspect d'un œuf.<br>Couvert d'une épaisse couche de poussière, on peut tout de<br>même lire l'inscription N103 gravée dessus...	Une forme de vie mystérieuse qui a l'aspect d'un œuf noir.<br>Il semble y avoir de légers signes de vie à l'intérieur.<br>Balèze contre les ennemis noirs.	Un Chat qui porte un masque pour éviter les maladies.<br>Il brûle toutes les plantes auxquelles il est allergique.<br>Balèze contre les ennemis noirs, fléau des Béhémoths.
664	Une forme de vie mystérieuse qui a l'aspect d'un œuf.<br>Couvert d'une épaisse couche de poussière, on peut tout de<br>même lire l'inscription N104 gravée dessus...	Une forme de vie mystérieuse qui a l'aspect d'un œuf vert.<br>Il semble y avoir de légers signes de vie à l'intérieur.<br>A une petite chance d'affaiblir les flottants.	Peut préparer tout le matériel chirurgical en un instant.<br>Utile s'il vous faut un félin agile de ses mains !<br>Affaiblit les ennemis flottants, fléau des Béhémoths.
665	Une forme de vie mystérieuse qui a l'aspect d'un œuf.<br>Couvert d'une épaisse couche de poussière, on peut tout de<br>même lire l'inscription N201 gravée dessus...	Une forme de vie mystérieuse qui a l'aspect d'un œuf sombre.<br>Il semble y avoir de légers signes de vie à l'intérieur.<br>A une petite chance d'immobiliser les Akus.	Exorcise toute activité paranormale en 30 min. maxi !<br>Même les esprits les plus têtus ne résistent pas à l'ail.<br>Fléau des Béhémoths, petite chance d'immobiliser les Akus.
666	Une beauté azimutée. Traîne sur les plages pour le plaisir.<br>Attire ses victimes pour mieux tester ses cocktails.<br>Assure contre sans caract. et aliens (att. de zone).	Une beauté qui rôde sur les plages pour trouver l'amour.<br>Empoisonne ses victimes grâce à ses cocktails.<br>Assure contre sans caract. et aliens (att. de zone).	
