000	安価で生産できる基本キャラ<br><br>	鍛えぬいた筋肉がチャームポイントの<br>基本キャラ<br>	鍛えぬいた筋肉に男前なタテガミが<br>チャームポイントの基本キャラ<br>
544	趣味の散歩で異世界から訪れた好奇心旺盛な少女<br>護り刀「穂ノ香」で妖魔を倒す使命を背負う<br>メタルな敵に超打たれ強く、たまにクリティカル(遠方範囲)	滅びた異世界から迷い込んだクールな少女<br>神刀「穂ノ香」で幾多の戦いを共に切り抜けてきた<br>メタルな敵に超打たれ強く、たまにクリティカル(遠方範囲)	
545	姿かたちが掴みどころのないネコっぽいなにか<br>風の強いところでは存在できない<br>天使に超ダメージを与える(遠方範囲攻撃)	姿かたちがぼんやりしているネコっぽいなにか<br>都合の悪いことがあるとすぐにケムに巻く<br>天使に超ダメージを与える(遠方範囲攻撃)	
546	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>進化させると…	ネコなのか何なのか、<br>まったく正体不明の謎のキャラクター<br>必ずメタルな敵以外を呪う(範囲攻撃)	
547			
548			
549			
550			
551			
552			
553	一族の跡継ぎを捨てパン職人になったネコ<br>かじったように見えるクロワッサンが人気<br>必ず天使とゾンビとエイリアンを呪う(遠方攻撃)	都会のバイトに飽き、家業をつぐため舞い戻ったネコ<br>長老にギャランド族の最上級ブーメランを託され感激<br>必ず天使とゾンビとエイリアンを呪う(遠方攻撃)	
554	長いものには巻かれるのが先祖代々のオキテ！<br>と、勝手な言い伝えでにゃんこ軍団に加入した<br>必ず古代種の動きを遅くし、烈波を放つ(範囲攻撃)	かつて魔王を封じ込め世界を救った伝説の武道家<br>とオウムに言わせる爺ちゃん。お面は孫にもらった<br>必ず古代種の動きを遅くし、烈波を放つ(範囲攻撃)	
555	聖神ナディアに仕える天聖界の賢者。<br>スーパーゼウスの育ての親でもある。<br>たまに属性を持つ敵をふっとばして遅くする(遠方範囲)	全情の神カーンは、天使の理力パワーを<br>増大させ悪魔に立向かわせる教祖なのだ！！<br>たまに属性を持つ敵をふっとばして遅くする(遠方範囲)	
556	聖夢源の中で誕生した天使。天聖界を意のままに<br>飛速し魔族をとり押え聖夢剣で奪われた理力を奪還。<br>次界若神子１！黒い敵に超ダメージを与える(遠方範囲)	クィーン導力で相乗聖動が起り次界へ高飛速し始めた<br>神帝１。夢鏡剣を新たに納め若神子からの聖儀完了！<br>阻む無縁ゾーン。黒い敵に超ダメージを与える(遠方範囲)	重合渦の魔洗礼を受け合聖群の突進を立ち塞ぐ<br>巨魔霊アリババ！吠え狂う魔戦に聖影の嘆きが？<br>黒い敵と天使に超ダメージを与える(遠方範囲)
557	聖遊源で飛びはね誕生した天使。遊弦棒で魔人も<br>小踊りさせ聖コインつぶてを投飛させやっつける<br>次界若神子の１！敵を倒したときにお金を多くもらえる	天子導きに相乗聖動を力に次界へ高飛速スタートの<br>神帝１。遊晶剣を新たに伝授し若神子からの聖儀完成！<br>途中聖戦有。敵を倒したときにお金を多くもらえる	
558	記念を祝ってステージに登場したレアガチャのネコ<br>いつもより多めに回しております！<br>ごくたまに敵をふっとばす	より縁起よい見た目で登場！<br>いつもより余計に回しております！<br>ごくたまに敵をふっとばす	
559	地獄に落とす人を探すため警官に扮してやってきた<br>閻魔女王。職務質問で嘘をつくと焼き滅ぼされる<br>たまに敵の攻撃力を下げ、波動を打ち消す(全方位攻撃)	裁く悪者を探すため軍人に紛れ込んだ閻魔女王<br>戦場で罪を犯す者たちを全員地獄送り<br>たまに敵の攻撃力を下げ、波動を打ち消す(全方位攻撃)	
560	電子世界から人気バーチャル・シンガー登場！<br>ちょっぴりミステリアスなバイリンガル・ボーカル<br>浮いてる敵と黒い敵に超ダメージを与える(遠方範囲)	電子世界から人気バーチャル・シンガー登場！<br>クール＆ハスキーな歌声のバイリンガル・ボーカル<br>浮いてる敵と黒い敵に超ダメージを与える(遠方範囲)	
561	電子世界から人気バーチャル・シンガー登場！<br>幅広いジャンルの曲を歌いこなす本格派ボーカル<br>赤い敵に超ダメージを与える(遠方範囲攻撃)	電子世界から人気バーチャル・シンガー登場！<br>コシのある歌声が特徴的な本格派ボーカル<br>赤い敵に超ダメージを与える(遠方範囲攻撃)	
562	ミステリアスなバーチャル・シンガーに憧れるネコ<br>踊ってみたが、謎めいた雰囲気が壊れるのでお蔵入り<br>たまにエイリアンからの攻撃を無効化する	ミステリアスなバーチャル・シンガーに近づくため<br>マグロを捕ったネコ。１年間の漁船生活で方言も習得した<br>たまにエイリアンからの攻撃を無効化する	
563	臨海学校で海にやってきた天才狙撃キッズ<br>うまく手加減が出来ず友達全員をヘッドショット<br>浮いてる敵と黒い敵しか攻撃できない(遠方範囲)	夜のビーチで悪を裁く天才狙撃キッズ<br>砂浜を汚す無作法な花火は問答無用で鎮火<br>浮いてる敵と天使しか攻撃できない(遠方範囲)	
564	ネコなのかギャルなのか、<br>まったく正体不明の謎のキャラクター<br>	ネコなのかギャルなのか、<br>まったく正体不明の謎のキャラクター<br>必ず烈波を放つ(範囲攻撃)	
565	真夏の太陽でこんがり焼けたネコ<br>ネコザイルに憧れてにゃんこ大戦争に参戦<br>たまに属性を持たない敵からの攻撃を無効化する	進化前に真夏の太陽でこんがり焼けたネコ<br>鍛え抜かれた白い腕はチャームポイント<br>たまに属性を持たない敵からの攻撃を無効化する	
566	息の合ったプレーで海の平和を守る仲良しにゃんこ<br>視力2.0の長男がどんな救難信号も逃さずキャッチ！<br>たまに属性を持たない敵の動きを遅くする(遠方範囲)	息の合ったプレーで串を支える仲良しにゃんこ<br>一番上が長男というわけではないらしい<br>たまに属性を持たない敵の動きを遅くする(遠方範囲)	
567	城とドラゴンから参戦！<br>ネコの形をした謎のタマゴ。ふ化すると…？<br>	城とドラゴンから参戦！<br>地元じゃ負け知らずの看板キャラに憧れるネコ<br>属性を持たない敵にめっぽう強い(範囲攻撃)	
568	ネコのデータをインプットした謎の知的生命体<br>にゃんこ軍団と行動を共にする目的は不明<br>古代種に超ダメージを与える(範囲攻撃)	あちこちを彷徨い、あらゆるものを知覚して変化を<br>繰り返している謎の知的生命体。未だ目的は不明<br>古代種に超ダメージを与える(範囲攻撃)	
569	宇宙の果てからやって来た石の精霊<br>降り立った星に石の源を宿すと言われている<br>必ず波動を放つ	隕石を粉々に砕くほどの岩石を操る精霊<br>暴れ狂う岩塊はバリアを粉砕する力を持つ<br>エイリアンに打たれ強く、必ず波動を放つ	
570	ハロウィンで出会ったドラゴンを従えた竜騎士<br>上空から襲来し、華麗にお菓子を強奪する(範囲攻撃)<br>たまにゾンビとエイリアンの動きを遅くし、ふっとばす	ハロウィンの真夜中を駆ける黒き竜騎士<br>闇夜を自在に舞い、今宵の獲物を探す(範囲攻撃)<br>たまにゾンビとエイリアンの動きを遅くし、ふっとばす	
571	ストリートファイターVから参戦！<br>相撲を「わあるどわいど」にするために戦う剛腕力士<br>天使に打たれ強く、必ずふっとばす(範囲攻撃)	ストリートファイターVから参戦！<br>「スーパー頭突き」で世界への道を切り開く<br>天使に打たれ強く、必ずふっとばす(範囲攻撃)	
572	ストリートファイターVから参戦！<br>自分の欲望に忠実な元ヘビー級のプロボクサー<br>赤、黒、ゾンビにしか攻撃できない(範囲攻撃)	ストリートファイターVから参戦！<br>強烈な「ターンパンチ」で敵をノックアウトする<br>赤、黒、ゾンビにしか攻撃できない(範囲攻撃)	
573	ストリートファイターVから参戦！<br>「美」こそ最上のものと信じるナルシスト<br>メタルな敵の動きを止め、たまにクリティカル(遠方範囲)	ストリートファイターVから参戦！<br>「フライングバルセロナアタック」で華麗に舞う<br>メタルな敵の動きを止め、たまにクリティカル(遠方範囲)	
574	ストリートファイターVから参戦！<br>強靭な肉体と研ぎ澄まされた技を持つ「帝王」<br>浮きに超ダメージを与え、体力低下で攻撃力上昇	ストリートファイターVから参戦！<br>「タイガーアッパーカット」で理不尽を打ち砕く<br>浮きに超ダメージを与え、体力低下で攻撃力上昇	
575	ストリートファイターVから参戦！<br>秘密犯罪組織シャドルーの総帥<br>浮いてる敵とエイリアンとゾンビにめっぽう強い	ストリートファイターVから参戦！<br>「サイコクラッシャー」で世界を征服する<br>浮いてる敵とエイリアンとゾンビにめっぽう強い	
576	相撲の魅力を世界に広めるネコ<br>ちびっこ相撲大会20年連続優勝の記録を持つ<br>天使に打たれ強い(範囲攻撃)	日本文化を伝えたくて「心技体」を鍛え上げたネコ<br>熱々のちゃんこと熱湯風呂を世界に広めたい<br>天使に打たれ強い(範囲攻撃)	
577	一攫千金を狙う自分の欲望に忠実なネコ<br>試合で反則を連発し、ファイトマネーはいまだゼロ<br>黒い敵にめっぽう強い	強烈なパンチを武器に闇の世界で生きるネコ<br>豪腕を振るった翌日は筋肉痛で寝込む<br>黒い敵にめっぽう強い	
578	自慢の美顔に酔いしれるナルシストなネコ<br>身元と美しい顔を守る仮面は手放せない<br>天使にめっぽう強い	スペインニンジュツで相手を翻弄する美しきネコ<br>自分より美しいものの前では仮面を被る<br>天使にめっぽう強い	
